q,p,lo,hi,coverage,n_local,method,cond_number
849,1,0.123742509112459,0.182125499334409,0.05839181167415168,321,interval,1071408.1850331395
850,0,0.11331127415748,0.609303614804346,0.4962609911245063,1000,interval_capped,1817724.8692896962
850,1,0.814854945670361,0.855411995190754,0.04056317753940031,223,interval,2195278.826323158
851,0,0.471935630220817,0.810341449481411,0.33858911419789484,1000,interval_capped,1409416.172415086
851,1,0.0394899863280796,0.5361444722107,0.49672952852417257,1000,interval_capped,998804.5618647228
852,0,0.154935701361608,0.541583499693279,0.3868572231698951,1000,interval_capped,1173914.3739407929
852,1,0.370257086610958,0.885412618968541,0.5152333704382953,1000,interval_capped,1026482.3630959245
853,0,0.593955194393508,0.690557129479489,0.0966542587891414,518,interval,1042804.3596821497
853,1,0.228286086484125,0.710997843118145,0.48278469258115375,1000,interval_capped,1883122.5666691277
854,0,0.365320926595414,0.962896239359918,0.5978989848861155,1000,interval_capped,1313800.945383261
854,1,0.532006982125894,0.941371934227262,0.4094268056197348,1000,interval_capped,1016779.3546938808
855,0,0.0509590154289136,0.155658643520423,0.10475633784847632,515,interval,1130807.6139625218
855,1,0.60014590892307,0.808667215233802,0.2085528131028587,1000,interval_capped,1832401.2686215574
856,0,0.0987084188750616,0.585841398301561,0.48739683129853956,1000,interval_capped,2352179.260827356
856,1,0.269888929095208,0.590076137933896,0.3202355879324553,1000,interval_capped,1145778.0748317605
857,0,0.0527656659355833,0.72532127194151,0.6729198906328979,1000,interval_capped,2392896.5636623274
857,1,0.44637580825465,0.60038657443456,0.15403403663260926,752,interval,1327832.1907442827
858,0,0.0706016662376461,0.583069171820262,0.5127450797079952,1000,interval_capped,2317019.9039527583
858,1,0.702094689826039,0.971588156849397,0.26953418648169647,1000,interval_capped,1934894.844006414
859,0,0.360906115867191,0.728246299892097,0.3675391510407394,1000,interval_capped,1334600.013326196
859,1,0.123382781870508,0.947822632512474,0.8245644204303232,1000,interval_capped,1162287.8923091039
860,0,0.414579011266358,0.473324012664844,0.05877682018154239,290,interval,1350085.8623855792
860,1,0.796415690616727,0.904727159884667,0.10832783472721862,552,interval,1732008.2470836008
861,0,0.00395480034735442,0.0518643777815574,0.047935527292308565,223,interval,1153597.5702099958
