,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test
213,sampling,1101,2,0.004097982609542356,1.1094391345977783,-1,1,4,10000,10000
214,sampling,1371,2,0.003642978949785866,1.5692036151885986,-1,1,4,10000,10000
215,sampling,1706,2,0.002701371345619117,2.3153200149536133,-1,1,4,10000,10000
216,sampling,2124,2,0.002106801174432552,3.74648380279541,-1,1,4,10000,10000
217,sampling,2643,2,0.001725520875017357,6.3458571434021,-1,1,4,10000,10000
218,sampling,3290,2,0.0015585386583527993,11.063590049743652,-1,1,4,10000,10000
219,sampling,4096,2,0.0011587850320311408,19.58438491821289,-1,1,4,10000,10000
220,sampling,64,3,0.08341438367606799,0.0319371223449707,-1,1,4,10000,10000
221,sampling,79,3,0.07316342386114151,0.045365095138549805,-1,1,4,10000,10000
222,sampling,99,3,0.05775562426706858,0.06013011932373047,-1,1,4,10000,10000
223,sampling,123,3,0.05790832007933725,0.07719016075134277,-1,1,4,10000,10000
224,sampling,153,3,0.04505166745319907,0.09563779830932617,-1,1,4,10000,10000
225,sampling,191,3,0.03621738867080078,0.12208676338195801,-1,1,4,10000,10000
226,sampling,237,3,0.0304754880236868,0.1620335578918457,-1,1,4,10000,10000
227,sampling,296,3,0.020863832391343415,0.22053909301757812,-1,1,4,10000,10000
228,sampling,368,3,0.015524990944657431,0.29063892364501953,-1,1,4,10000,10000
229,sampling,458,3,0.011702236449031397,0.37604498863220215,-1,1,4,10000,10000
230,sampling,571,3,0.009735415969558054,0.5645725727081299,-1,1,4,10000,10000
231,sampling,710,3,0.008387528899681833,0.7356526851654053,-1,1,4,10000,10000
232,sampling,884,3,0.006643593964979593,0.9468181133270264,-1,1,4,10000,10000
233,sampling,1101,3,0.006036281529048242,1.2854833602905273,-1,1,4,10000,10000
234,sampling,1371,3,0.0054612121014385555,1.989950180053711,-1,1,4,10000,10000
235,sampling,1706,3,0.00486818045350308,2.8796746730804443,-1,1,4,10000,10000
236,sampling,2124,3,0.003721588663385408,4.4976091384887695,-1,1,4,10000,10000
237,sampling,2643,3,0.0032881795531250675,7.392810583114624,-1,1,4,10000,10000
238,sampling,3290,3,0.0027939247396073035,12.429774284362793,-1,1,4,10000,10000
239,sampling,4096,3,0.0016393564953547854,21.649301052093506,-1,1,4,10000,10000
240,sampling,64,1,0.03161282519328076,0.015013694763183594,-1,1,5,10000,10000
241,sampling,79,1,0.029264037836238797,0.020327091217041016,-1,1,5,10000,10000
242,sampling,99,1,0.023998902431564436,0.02605295181274414,-1,1,5,10000,10000
243,sampling,123,1,0.022672710133427424,0.035141944885253906,-1,1,5,10000,10000
244,sampling,153,1,0.018011972610659774,0.043776512145996094,-1,1,5,10000,10000
245,sampling,191,1,0.01585881253149073,0.05701279640197754,-1,1,5,10000,10000
246,sampling,237,1,0.013805555660998186,0.07456660270690918,-1,1,5,10000,10000
247,sampling,296,1,0.011418968791302714,0.1007835865020752,-1,1,5,10000,10000
248,sampling,368,1,0.009664306785680856,0.1322159767150879,-1,1,5,10000,10000
249,sampling,458,1,0.008356298814999547,0.18806767463684082,-1,1,5,10000,10000
250,sampling,571,1,0.006898992326448255,0.28100132942199707,-1,1,5,10000,10000
251,sampling,710,1,0.005881019323333168,0.3463752269744873,-1,1,5,10000,10000
252,sampling,884,1,0.005025987812060891,0.5561294555664062,-1,1,5,10000,10000
253,sampling,1101,1,0.004513460796816717,0.7663261890411377,-1,1,5,10000,10000
254,sampling,1371,1,0.003798654661765453,1.1301794052124023,-1,1,5,10000,10000
255,sampling,1706,1,0.0032992470919464456,1.7577598094940186,-1,1,5,10000,10000
256,sampling,2124,1,0.0028808570662602288,2.9802939891815186,-1,1,5,10000,10000
257,sampling,2643,1,0.002710435681993008,5.3928468227386475,-1,1,5,10000,10000
258,sampling,3290,1,0.0026996557967767605,9.690268993377686,-1,1,5,10000,10000
259,sampling,4096,1,0.002974232110955373,17.72121548652649,-1,1,5,10000,10000
260,sampling,64,2,0.07763733217556273,0.022907733917236328,-1,1,5,10000,10000
261,sampling,79,2,0.0682557594275839,0.03367972373962402,-1,1,5,10000,10000
262,sampling,99,2,0.06634695167952462,0.04166865348815918,-1,1,5,10000,10000
263,sampling,123,2,0.04420045914883522,0.052964210510253906,-1,1,5,10000,10000
264,sampling,153,2,0.0289652534337908,0.06714153289794922,-1,1,5,10000,10000
265,sampling,191,2,0.027059456767338744,0.08492255210876465,-1,1,5,10000,10000
266,sampling,237,2,0.02169559543655634,0.10911154747009277,-1,1,5,10000,10000
267,sampling,296,2,0.01912931822318883,0.1444864273071289,-1,1,5,10000,10000
268,sampling,368,2,0.015411893009464965,0.19932103157043457,-1,1,5,10000,10000
269,sampling,458,2,0.012310772544184249,0.3405647277832031,-1,1,5,10000,10000
270,sampling,571,2,0.010764645488578483,0.42021942138671875,-1,1,5,10000,10000
271,sampling,710,2,0.008622171991659081,0.5489110946655273,-1,1,5,10000,10000
272,sampling,884,2,0.007212079326505928,0.7568988800048828,-1,1,5,10000,10000
273,sampling,1101,2,0.006124781913919118,1.1096041202545166,-1,1,5,10000,10000
274,sampling,1371,2,0.00494092520579338,1.552783489227295,-1,1,5,10000,10000
275,sampling,1706,2,0.0044216076544452716,2.2873640060424805,-1,1,5,10000,10000
276,sampling,2124,2,0.0034641520908327175,3.7150871753692627,-1,1,5,10000,10000
277,sampling,2643,2,0.002885524783863616,6.3726794719696045,-1,1,5,10000,10000
278,sampling,3290,2,0.0022783084423838923,11.087071180343628,-1,1,5,10000,10000
279,sampling,4096,2,0.0020600986043401016,19.576236724853516,-1,1,5,10000,10000
280,sampling,64,3,0.0830359993912179,0.031508684158325195,-1,1,5,10000,10000
281,sampling,79,3,0.07882506960963555,0.05018043518066406,-1,1,5,10000,10000
282,sampling,99,3,0.07057302704792863,0.06030583381652832,-1,1,5,10000,10000
283,sampling,123,3,0.06029397946537684,0.07466816902160645,-1,1,5,10000,10000
284,sampling,153,3,0.05151496935369948,0.0944972038269043,-1,1,5,10000,10000
285,sampling,191,3,0.050124619218968186,0.12480854988098145,-1,1,5,10000,10000
286,sampling,237,3,0.04325886106046953,0.15360569953918457,-1,1,5,10000,10000
287,sampling,296,3,0.032624586239603806,0.22066736221313477,-1,1,5,10000,10000
288,sampling,368,3,0.027326947125433876,0.26105165481567383,-1,1,5,10000,10000
289,sampling,458,3,0.020428853316360678,0.428727388381958,-1,1,5,10000,10000
290,sampling,571,3,0.016687741221736066,0.5432925224304199,-1,1,5,10000,10000
291,sampling,710,3,0.013539315809731126,0.7023992538452148,-1,1,5,10000,10000
292,sampling,884,3,0.010825353387220363,1.1031403541564941,-1,1,5,10000,10000
293,sampling,1101,3,0.010406458083199227,1.4391694068908691,-1,1,5,10000,10000
294,sampling,1371,3,0.009329521593875812,1.9719955921173096,-1,1,5,10000,10000
295,sampling,1706,3,0.007313676245031801,2.8750452995300293,-1,1,5,10000,10000
296,sampling,2124,3,0.00624763211463806,4.485952138900757,-1,1,5,10000,10000
297,sampling,2643,3,0.0049729866560495875,7.35775089263916,-1,1,5,10000,10000
298,sampling,3290,3,0.003602598671107773,12.457671403884888,-1,1,5,10000,10000
299,sampling,4096,3,0.002658823654300674,22.26909065246582,-1,1,5,10000,10000
300,sampling,64,1,0.05922645477262658,0.015254020690917969,-1,1,10,10000,10000
301,sampling,79,1,0.05517804657676844,0.020444393157958984,-1,1,10,10000,10000
302,sampling,99,1,0.0465462308035422,0.02643752098083496,-1,1,10,10000,10000
303,sampling,123,1,0.0423804208282974,0.03524184226989746,-1,1,10,10000,10000
304,sampling,153,1,0.037160701292858006,0.044052839279174805,-1,1,10,10000,10000
305,sampling,191,1,0.02845453948607004,0.05676770210266113,-1,1,10,10000,10000
306,sampling,237,1,0.022463569800355618,0.07313203811645508,-1,1,10,10000,10000
307,sampling,296,1,0.015867391299163834,0.1002650260925293,-1,1,10,10000,10000
308,sampling,368,1,0.013458389124430233,0.1331324577331543,-1,1,10,10000,10000
309,sampling,458,1,0.012429741318045633,0.1813344955444336,-1,1,10,10000,10000
310,sampling,571,1,0.011867871594829245,0.2802565097808838,-1,1,10,10000,10000
311,sampling,710,1,0.011465733911417877,0.35013842582702637,-1,1,10,10000,10000
312,sampling,884,1,0.010627698526330682,0.49016404151916504,-1,1,10,10000,10000
313,sampling,1101,1,0.010382761758761974,0.7022249698638916,-1,1,10,10000,10000
314,sampling,1371,1,0.009467437561249402,1.147629737854004,-1,1,10,10000,10000
315,sampling,1706,1,0.008780193459010922,1.7401046752929688,-1,1,10,10000,10000
316,sampling,2124,1,0.007593957735432155,2.998532295227051,-1,1,10,10000,10000
317,sampling,2643,1,0.0066378358960106345,5.374812841415405,-1,1,10,10000,10000
318,sampling,3290,1,0.005910226917156286,9.731059789657593,-1,1,10,10000,10000
319,sampling,4096,1,0.0060054808754572845,17.674356937408447,-1,1,10,10000,10000
320,sampling,64,2,0.06286725052133721,0.02323627471923828,-1,1,10,10000,10000
321,sampling,79,2,0.05883194733982717,0.03192400932312012,-1,1,10,10000,10000
322,sampling,99,2,0.056044622736181444,0.044173240661621094,-1,1,10,10000,10000
323,sampling,123,2,0.047452651472475134,0.05355024337768555,-1,1,10,10000,10000
324,sampling,153,2,0.03601906813584761,0.06869888305664062,-1,1,10,10000,10000
325,sampling,191,2,0.028113058132299598,0.08830642700195312,-1,1,10,10000,10000
326,sampling,237,2,0.023420167807000965,0.11305880546569824,-1,1,10,10000,10000
327,sampling,296,2,0.020530213622424045,0.1495370864868164,-1,1,10,10000,10000
