,architecture,layer_width,n_hidden_channels,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
210,fno_swim,256,32,1,32,1e-08,0.013076730670429961,0.013619792342864557,0.013598955266977025,15.10251842904836,320924323
211,fno_swim,2048,16,2,32,1e-10,0.0008460856288037687,0.001457584610970797,0.0014781172665934339,128.79694483149797,799246351
212,fno_swim,256,32,2,8,1e-08,0.013231499290429579,0.013883972016610095,0.01378355700851535,29.426196672953665,267800453
213,fno_swim,1024,16,4,16,1e-08,0.002533366610044472,0.003226452426209332,0.0031975355274057424,103.5371583243832,663694231
214,fno_swim,2048,32,4,8,1e-08,0.000871589183124189,0.001467670178145501,0.0014761559747683262,440.0312955453992,558672328
215,fno_swim,1024,32,1,32,1e-08,0.002529699920289884,0.0032110506361260594,0.003174312157723041,51.457941819913685,613210926
216,fno_swim,2048,32,4,32,1e-06,0.0018179977652328736,0.0027229578457185206,0.0027007751741896856,495.34587804973125,105318476
217,fno_swim,2048,16,2,16,1e-10,0.0009081528441762098,0.001588033455275827,0.001603561221742096,124.64602409582585,34249251
218,fno_swim,2048,32,2,8,1e-08,0.0008755165016633056,0.0014752561257064167,0.0014789060796104468,216.96100248862058,850869474
219,fno_swim,256,16,4,16,1e-06,0.013620624264946453,0.0143817474538185,0.014083247158672674,32.90029707271606,141353427
220,fno_swim,256,32,1,32,1e-06,0.013379658578563275,0.014074254953588619,0.01385261835065775,16.255904480814934,682417300
221,fno_swim,1024,16,1,16,1e-08,0.002513113725691924,0.003137904596482432,0.0031275161428575312,24.617001733742654,912442692
222,fno_swim,512,32,2,16,1e-10,0.006286421419607313,0.007012364335234317,0.006924676439838199,50.5651788553223,435148130
223,fno_swim,1024,32,2,8,1e-08,0.002446578034909485,0.0030716122523002007,0.0030654208288743473,92.42338976729661,671763269
224,fno_swim,2048,32,4,32,1e-08,0.0008506128240463056,0.001448081329319261,0.0014432239036273724,514.3758042613044,269345420
225,fno_swim,512,32,2,8,1e-06,0.006027180996681525,0.0067212078638866045,0.006638236652075795,49.53428890835494,651257872
226,fno_swim,1024,16,4,16,1e-08,0.0025779393372370716,0.0033050624652111965,0.003283091620135578,106.71710106357932,839212787
227,fno_swim,256,16,1,32,1e-10,0.014225517422352715,0.014843158613052241,0.014778163192285724,7.580047467723489,92019671
228,fno_swim,2048,32,4,32,1e-08,0.0008987763707505799,0.0015171871362024258,0.001510138476348845,531.0381127987057,821623559
229,fno_swim,2048,32,4,32,1e-08,0.0008810167236641538,0.0014811674114880405,0.0014936503083781512,523.6034936448559,59048896
230,fno_swim,2048,32,1,8,1e-08,0.0008706327855869611,0.0014705525728211828,0.0014838763379318352,112.34178389236331,200335890
231,fno_swim,512,16,4,32,1e-06,0.006021435277076848,0.006722332409421031,0.006681416018090628,60.231245601549745,481907285
232,fno_swim,1024,32,4,8,1e-08,0.0025680725148314616,0.0032740373502066445,0.003225393102004226,202.9379540439695,837798239
233,fno_swim,512,16,4,8,1e-10,0.006130999665102946,0.0072536142788706195,0.007173285854940701,50.38488475885242,323134793
234,fno_swim,2048,32,2,16,1e-08,0.0008566690186842243,0.0014425710674249692,0.001468179683430209,249.29801383428276,152702134
235,fno_swim,2048,32,2,16,1e-06,0.0017021974291947229,0.002418847702206128,0.0024174391821775673,246.7792324675247,900048833
236,fno_swim,1024,16,1,16,1e-06,0.002964483349547544,0.0036336205898056437,0.003634483035927196,25.715261394158006,475053040
237,fno_swim,512,16,2,32,1e-10,0.006012701197838118,0.006654669394856775,0.006571594153159718,29.66875758767128,217093991
238,fno_swim,256,32,1,8,1e-08,0.012939692828234567,0.013485748462935888,0.01341456370740622,13.786680716089904,445379029
239,fno_swim,512,32,2,16,1e-08,0.006323642291055901,0.006984828421702497,0.006976758039784622,53.535335380584,972041816
240,fno_swim,256,16,2,32,1e-06,0.013271968698887074,0.013797757203129733,0.01367545246894087,17.284395694732666,895285757
241,fno_swim,512,16,2,16,1e-10,0.0061749275752233344,0.006853834266881609,0.006787695328290774,27.513337171636522,912151230
242,fno_swim,256,32,1,8,1e-10,0.01387255409323433,0.014497867486798408,0.014371696152885192,13.594668592326343,711888835
243,fno_swim,1024,16,2,32,1e-10,0.0026702205062785296,0.0034498641535873017,0.0034404718798055796,54.79805834963918,173881759
244,fno_swim,256,16,4,32,1e-10,0.01312032135419735,0.013718452757334526,0.013635096439319231,35.56792613957077,105274918
245,fno_swim,2048,16,2,8,1e-10,0.0008284677281781706,0.0014262497781947488,0.0014122227840510935,117.61428915057331,449451925
