,architecture,input_dim,layer_width,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
177,in_fourier,256,256,2,8,64,5e-05,5000,200,1,0.0,0.003189530802909888,0.004304057623345533,0.004273092647742507,2434.4504114696756,30269359
178,in_fourier,256,2048,1,32,64,0.0001,5000,200,1,0.0,0.0036468704934132326,0.004113804830575701,0.0040696040315004066,1194.247963522561,742968808
179,in_fourier,256,4098,2,32,64,1e-05,5000,200,1,0.0,0.0029002810501377006,0.024794402918031644,0.02381418409384796,8642.10375146009,399069689
180,in_fourier,256,4098,2,32,64,1e-05,5000,200,1,0.0,0.002100259979915325,0.02533240756084238,0.02447593946309111,9705.811361905187,498867665
181,in_fourier,256,2048,4,32,64,5e-05,5000,200,1,0.0,0.010238362844455,0.03549785486306083,0.03526682253007491,1403.2795077636838,975978766
182,in_fourier,256,2048,1,8,64,0.0001,5000,200,1,0.0,0.002753874324857465,0.006160734648509165,0.00613906591848898,2058.4338247869164,925572365
183,in_fourier,256,512,2,8,64,0.0005,5000,200,1,0.0,0.02104005280545319,0.04888847598974869,0.0474852499037424,186.51963042281568,17233943
184,in_fourier,256,4098,4,8,64,5e-05,5000,200,1,0.0,0.01278029416700045,0.10915046500746009,0.10706200838211727,5075.948762712069,873014079
185,in_fourier,256,4098,2,32,64,0.0005,5000,200,1,0.0,0.03312417775497424,0.038535913403838155,0.038607710872935824,2986.1977161644027,902522859
186,in_fourier,256,256,1,8,64,1e-05,5000,200,1,0.0,0.016754753026950973,0.017278339299760064,0.017405279091497534,1906.1427602721378,593238724
187,in_fourier,256,512,2,8,64,0.0005,5000,200,1,0.0,0.022376966954443217,0.0502581518152014,0.04817667188191437,172.32023203372955,355381932
188,in_fourier,256,2048,2,8,64,1e-05,5000,200,1,0.0,0.0019750331532495413,0.06667128749541708,0.06376812555578816,4670.084608700126,28908422
189,in_fourier,256,1024,1,16,64,0.0005,5000,200,1,0.0,0.0052550955944244025,0.005654316255910772,0.005631655335683498,578.0074060093611,675366872
190,in_fourier,256,256,4,32,64,1e-05,5000,200,1,0.0,0.0054314813488777584,0.007133538191604619,0.007020687719216427,2953.1700072064996,173768669
191,in_fourier,256,2048,1,8,64,0.0005,5000,200,1,0.0,0.006194094804005569,0.007719532873842835,0.007646595289693486,548.6652661981061,828436588
192,in_fourier,256,256,1,8,64,5e-05,5000,200,1,0.0,0.0045041343565653,0.00474487461208118,0.004728456053311988,1910.2554458742961,685520157
193,in_fourier,256,512,1,16,64,0.0005,5000,200,1,0.0,0.006189056882031418,0.006447875436536583,0.006439771663657313,316.158876767382,259506188
