,n_hidden_channels,n_modes,regularization_scale,n_layers,layer_width,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
182,32,16,1e-10,1,1024,0.0025044196839921254,0.0031504972269515478,0.0031496810832981454,46.70920039899647,fno,swim
183,32,16,1e-10,1,2048,0.0008437537678554408,0.001445377612169712,0.0014479020100808008,112.12077318380277,fno,swim
184,32,16,1e-10,1,4096,0.00027638704338043245,0.000900321529771877,0.0009289746339283454,390.7447964409366,fno,swim
185,32,16,1e-10,2,256,0.012951762346278225,0.013455347636402737,0.013451841010929727,31.838315817527473,fno,swim
186,32,16,1e-10,2,512,0.005998781166497346,0.006713542227123744,0.00663810597421034,51.25953484668086,fno,swim
187,32,16,1e-10,2,1024,0.0025141042077445673,0.003174138672997161,0.00316768743240035,101.9422137948374,fno,swim
188,32,16,1e-10,2,2048,0.0008379151060868103,0.0014275219806864567,0.001432311408081069,240.2216495880857,fno,swim
189,32,16,1e-10,2,4096,0.0002757200950654164,0.0008981009168716668,0.0009363024615983775,788.4309773271283,fno,swim
190,32,16,1e-10,4,256,0.013462815972717875,0.014076061739554826,0.014018124053907273,65.9907545397679,fno,swim
191,32,16,1e-10,4,512,0.005929413070933801,0.006603125137220397,0.006556831288082596,108.70896412152797,fno,swim
192,32,16,1e-10,4,1024,0.00249773092210367,0.0032076804856469962,0.00319517056959168,202.95162654978535,fno,swim
193,32,16,1e-10,4,2048,0.0008710779748373502,0.0015106796390099977,0.0015135784196010492,503.6161568419387,fno,swim
194,32,16,1e-10,4,4096,0.00027949470864808843,0.0009171416491874938,0.0009500730538791122,1893.9594263114657,fno,swim
195,32,16,1e-08,1,256,0.012962247712022201,0.013575547747378512,0.013385531913681983,14.371359481165806,fno,swim
196,32,16,1e-08,1,512,0.005868114489644682,0.006507147428489408,0.006417476973339147,23.780029169283807,fno,swim
197,32,16,1e-08,1,1024,0.0024867408708834746,0.0031130385078968308,0.0030991053988654866,46.88498163409531,fno,swim
198,32,16,1e-08,1,2048,0.0008751744015708194,0.0014769487527819408,0.0014888993645836652,169.6460593563194,fno,swim
199,32,16,1e-08,1,4096,0.00043619181907921076,0.0010485806336046173,0.0010662540407948143,389.82018848570686,fno,swim
200,32,16,1e-08,2,256,0.0129870640312817,0.013543178016092366,0.013491039243989774,31.431635735866923,fno,swim
201,32,16,1e-08,2,512,0.006132876285777424,0.0067838756474104854,0.0067459024455298845,52.54470234674712,fno,swim
202,32,16,1e-08,2,1024,0.0025257063188870226,0.0031957593877327216,0.003183754950095627,136.67056707603237,fno,swim
203,32,16,1e-08,2,2048,0.0008586208055547398,0.0014493333767293028,0.0014521511516064243,240.9037046817442,fno,swim
204,32,16,1e-08,2,4096,0.00045018976389136193,0.0010808334866646864,0.0010872415729337901,812.9808971226836,fno,swim
205,32,16,1e-08,4,256,0.01319901713597099,0.013695141086736176,0.01370906398479812,65.84499782510102,fno,swim
206,32,16,1e-08,4,512,0.00598122217500078,0.006690482363336747,0.006617547604395799,106.373560029082,fno,swim
207,32,16,1e-08,4,1024,0.0025047758732577295,0.003201559980271506,0.0032228546514273967,205.36883908479163,fno,swim
208,32,16,1e-08,4,2048,0.0008748761037125959,0.0014923343968804052,0.0014866187419539272,492.73908283313114,fno,swim
209,32,16,1e-08,4,4096,0.00044656647965810075,0.0010746400430978057,0.0010945399368101764,1872.3159805765997,fno,swim
210,32,16,1e-06,1,256,0.013341551351470039,0.01391595382577541,0.013825764095079388,14.015409388579428,fno,swim
211,32,16,1e-06,1,512,0.005934552722195254,0.006548246010809412,0.006511164324165524,22.072393632493913,fno,swim
212,32,16,1e-06,1,1024,0.002915970947975893,0.003581529441658683,0.0035643524018845185,44.718485343270004,fno,swim
213,32,16,1e-06,1,2048,0.0016866459769958452,0.0023627757409879213,0.0023674460581368426,113.71294569596648,fno,swim
214,32,16,1e-06,1,4096,0.0012034663040099316,0.001943543146032645,0.0019540835892134715,389.01013312178355,fno,swim
215,32,16,1e-06,2,256,0.013526208487788119,0.014218218036495632,0.014079309767737365,30.940617311745882,fno,swim
216,32,16,1e-06,2,512,0.005895577553936403,0.006527988380245158,0.006506434372074543,52.08334065570185,fno,swim
217,32,16,1e-06,2,1024,0.0028962606207188087,0.0035478276916491368,0.003529602817252677,99.55378935517122,fno,swim
218,32,16,1e-06,2,2048,0.0017070177091968164,0.0024331016915867614,0.0024222677270675157,241.21763370993236,fno,swim
219,32,16,1e-06,2,4096,0.0011996454071718824,0.0019392202910121692,0.0019465699866971881,806.0601400028294,fno,swim
220,32,16,1e-06,4,256,0.013180891461080119,0.013771982108623543,0.013660907895787555,64.57593898319949,fno,swim
221,32,16,1e-06,4,512,0.006128455330875031,0.006858709675089176,0.006788179557505061,110.14971616584808,fno,swim
222,32,16,1e-06,4,1024,0.002901305210945149,0.0035547285721406773,0.0035451711930290265,204.21473709711185,fno,swim
223,32,16,1e-06,4,2048,0.0017115127524187292,0.0024459814049015757,0.002436180925769462,481.7570708285396,fno,swim
224,32,16,1e-06,4,4096,0.0012768842453793506,0.0021625947590784766,0.0021658770306281763,1883.0608031727995,fno,swim
225,32,32,1e-10,1,256,0.013496528721748452,0.014083636176221803,0.013937597362025345,16.246491734248895,fno,swim
226,32,32,1e-10,1,512,0.005908120108327963,0.006509664150503378,0.006497944939356665,26.326660625015695,fno,swim
227,32,32,1e-10,1,1024,0.0024939051565143265,0.003139682269047407,0.003140418150150329,52.65522124990821,fno,swim
228,32,32,1e-10,1,2048,0.0008255155338240293,0.0014109726064980498,0.001411423255847537,123.24224259207647,fno,swim
229,32,32,1e-10,1,4096,0.00027551524832689333,0.0009004753924878534,0.0009307373783426525,404.73139523963135,fno,swim
230,32,32,1e-10,2,256,0.013314071058852267,0.014028369356226512,0.013761419319004079,35.42558967477331,fno,swim
231,32,32,1e-10,2,512,0.006040593171262186,0.0066792944649068505,0.006615541438494777,56.846524766025446,fno,swim
232,32,32,1e-10,2,1024,0.002576581522618256,0.0032770149287063496,0.0032527031222928083,109.99523771833628,fno,swim
233,32,32,1e-10,2,2048,0.0008308948430449571,0.0014252036572953337,0.001430914402110738,249.50252088718116,fno,swim
234,32,32,1e-10,2,4096,0.0002769910798193441,0.0009127544415009906,0.0009393792999753426,771.1748796844234,fno,swim
