,architecture,input_dim,layer_width,n_layers,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
95,fcn,256,256,1,64,0.0005,2000,100,1,0.0,0.012910811745026302,0.013062786786294878,0.012982962303446439,337.96211768500507,575979871
96,fcn,256,1024,1,64,5e-05,2000,100,1,0.0,0.01157473052572885,0.011713848357384113,0.01161116489622251,319.7720846850425,145873836
97,fcn,256,512,2,64,5e-05,2000,100,1,0.0,0.004619420500911,0.004761992005414326,0.004714815437348775,915.5092671113089,740666656
98,fcn,256,512,2,64,1e-05,2000,100,1,0.0,0.0068952452877491886,0.007074849178871143,0.006999374224963766,877.4210599539801,18657899
99,fcn,256,512,1,64,0.0001,2000,100,1,0.0,0.012373373218536736,0.012480037048435212,0.012425949129512665,227.34372415672988,798145110
100,fcn,256,4098,4,64,1e-05,2000,100,1,0.0,0.003980818363748795,0.004145617401713922,0.004083448997088171,8532.23033706192,256074405
101,fcn,256,256,2,64,0.0005,2000,100,1,0.0,0.009703999058984903,0.009863455368462967,0.009771690698964278,276.9578842287883,17817529
102,fcn,256,4098,4,64,0.0001,2000,100,1,0.0,0.011060577431632421,0.01123953855097687,0.011114806209190045,7559.437016164884,3931661
103,fcn,256,4098,2,64,5e-05,2000,100,1,0.0,0.004574276990730023,0.0046620908416790795,0.00462399809270906,2455.9886543033645,887635552
104,fcn,256,256,1,64,1e-05,2000,100,1,0.0,0.018795603493711687,0.018975808470034168,0.018848772566616247,910.279144522734,975610073
105,fcn,256,1024,4,64,1e-05,2000,100,1,0.0,0.004396539177606578,0.004534996316381887,0.004497876680294995,1541.9609043970704,389028645
106,fcn,256,4098,1,64,1e-05,2000,100,1,0.0,0.010526841184953834,0.010676308790619248,0.010633320405524735,932.0389859508723,123386503
107,fcn,256,1024,1,64,0.0005,2000,100,1,0.0,0.011609577166804027,0.011834249714259778,0.011672453037484704,281.57481508143246,30435499
108,fcn,256,4098,4,64,5e-05,2000,100,1,0.0,0.008359551873254016,0.008460352145580533,0.008458073594687716,4083.2807605331764,852400784
109,fcn,256,2048,2,64,1e-05,2000,100,1,0.0,0.005685606941316611,0.0058275370044612446,0.005745331612767269,1423.8034686269239,365388221
110,fcn,256,2048,4,64,0.0005,2000,100,1,0.0,0.03393816006027921,0.033947073950230194,0.0338280683332552,353.4209726313129,677138761
111,fcn,256,512,1,64,0.0005,2000,100,1,0.0,0.011737147942267807,0.011889463923516431,0.011806864706059362,358.34808491915464,789896888
112,fcn,256,2048,2,64,0.0001,2000,100,1,0.0,0.004477090249055126,0.004585162250233557,0.004541825651090213,999.1629042802379,416630834
113,fcn,256,2048,1,64,0.0005,2000,100,1,0.0,0.011655929563356723,0.011773201193624554,0.011730342159756461,195.00679649226367,183285231
114,fcn,256,512,4,64,5e-05,2000,100,1,0.0,0.005962823494583768,0.006094364095691457,0.006044018618885275,470.0475566741079,578075669
115,fcn,256,2048,1,64,5e-05,2000,100,1,0.0,0.01080073360120242,0.010928856273465501,0.010820691065945324,468.14776141755283,821909022
116,fcn,256,2048,2,64,5e-05,2000,100,1,0.0,0.004024382687497392,0.004126734339602307,0.004082788362221264,1360.1148574911058,452844357
117,fcn,256,2048,4,64,1e-05,2000,100,1,0.0,0.00572864400594942,0.005857007836192338,0.005802863619038184,1951.2184306858107,893055404
118,fcn,256,256,2,64,1e-05,2000,100,1,0.0,0.01050406373458739,0.010681911584209738,0.010618812823750658,830.0727675370872,681153178
119,fcn,256,4098,1,64,0.0001,2000,100,1,0.0,0.011366988027211694,0.011461098646915253,0.011429099235812454,386.5597846498713,578475567
120,fcn,256,1024,2,64,0.0005,2000,100,1,0.0,0.00901509545273461,0.009185503929802016,0.009119691376660598,275.4350162502378,686576640
121,fcn,256,512,4,64,0.0005,2000,100,1,0.0,0.010360433418949747,0.010602232366626675,0.010463458302594514,393.15636626817286,437121208
122,fcn,256,256,2,64,5e-05,2000,100,1,0.0,0.008024429202039466,0.008219724072557204,0.0081524040234188,566.9932568604127,551997661
123,fcn,256,256,4,64,1e-05,2000,100,1,0.0,0.008361146140823946,0.008539192769560052,0.008453708562486223,1078.0744368880987,230572069
124,fcn,256,512,4,64,0.0001,2000,100,1,0.0,0.006126928145420154,0.006284976077627024,0.006240485336823675,375.4311686344445,842733135
125,fcn,256,256,4,64,0.0001,2000,100,1,0.0,0.0066921175021957355,0.0068681106326962255,0.006800377921940528,450.20923495013267,133412942
126,fcn,256,1024,2,64,1e-05,2000,100,1,0.0,0.0054752521917698456,0.005633574759250314,0.005591863495778836,904.2405922533944,917311478
127,fcn,256,1024,4,64,5e-05,2000,100,1,0.0,0.004654890411820451,0.004805663737314048,0.004722739274238069,825.4271055283025,261268868
128,fcn,256,256,4,64,5e-05,2000,100,1,0.0,0.007910819513428863,0.008067035202449752,0.007982176836141277,541.4580995226279,841938010
129,fcn,256,4098,2,64,0.0001,2000,100,1,0.0,0.0044812458743051535,0.004586103043200206,0.004555263606485257,2240.4103727526963,951134626
130,fcn,256,4098,2,64,0.0005,2000,100,1,0.0,0.0333201637728022,0.03316023320597227,0.03311972131021047,416.65713861584663,610207141
131,fcn,256,4098,2,64,1e-05,2000,100,1,0.0,0.0057433668629256005,0.005869151190717362,0.005795946569579427,3278.7281544664875,522887121
132,fcn,256,2048,1,64,1e-05,2000,100,1,0.0,0.010104921654478514,0.010288811397327789,0.010240103596038688,904.7026592204347,303216952
133,fcn,256,1024,1,64,1e-05,2000,100,1,0.0,0.011361564365335652,0.011497027679169812,0.011460041157749302,775.4986393637955,103674864
134,fcn,256,4098,2,64,1e-05,2000,100,1,0.0,0.0045270041614988215,0.004662046569660401,0.004610454548276077,4660.977301386185,797957133
135,fcn,256,1024,1,64,1e-05,2000,100,1,0.0,0.011173148285055142,0.01133601031409919,0.011298540457001004,779.1009293468669,736216111
136,fcn,256,256,4,64,1e-05,2000,100,1,0.0,0.008219778270560007,0.00839475875401889,0.008304854553081607,1088.7797271395102,781958095
137,fcn,256,512,2,64,1e-05,2000,100,1,0.0,0.0067525335450153885,0.006936006637058885,0.006880652447730339,884.6972997235134,218066321
138,fcn,256,4098,2,64,1e-05,2000,100,1,0.0,0.004874106391781369,0.004999870403497141,0.004927650117909051,4318.0446315500885,873250586
139,fcn,256,4098,1,64,1e-05,2000,100,1,0.0,0.010486336811959429,0.01061879541856242,0.010559957318119498,923.053148473613,324470382
140,fcn,256,512,2,64,1e-05,2000,100,1,0.0,0.006810821237822751,0.007020336830626681,0.006930544999111799,882.4707790641114,608763070
141,fcn,256,4098,1,64,1e-05,2000,100,1,0.0,0.010313583410557815,0.010424049819106909,0.010451635000061804,947.668065963313,460633442
142,fcn,256,1024,4,64,1e-05,2000,100,1,0.0,0.004469872293370812,0.004616266849301904,0.004563225930594392,1268.6075870338827,364437363
143,fcn,256,2048,2,64,1e-05,2000,100,1,0.0,0.0046398715162962925,0.004771807555679451,0.004722040015690379,1807.5847199633718,464173396
144,fcn,256,1024,4,64,1e-05,2000,100,1,0.0,0.005432447464893769,0.0055915642057507,0.005538029719507518,881.1937433527783,367214872
145,fcn,256,512,1,64,1e-05,2000,100,1,0.0,0.013549923375502143,0.013667977187015694,0.013535038650964714,785.6994408387691,530650123
146,fcn,256,4098,4,64,1e-05,2000,100,1,0.0,0.00617531449479197,0.0063660737461687855,0.0062747597911000635,4896.009824035689,258146501
147,fcn,256,256,2,64,1e-05,2000,100,1,0.0,0.009971939673375296,0.010151448402728785,0.010068112620137614,886.2379311379045,873399845
148,fcn,256,2048,1,64,1e-05,2000,100,1,0.0,0.010270637549772775,0.010409239999997107,0.010408551126573599,814.5977052068338,448986745
149,fcn,256,512,4,64,1e-05,2000,100,1,0.0,0.005033045653361017,0.005194225724407315,0.005124250110901988,1102.5143337398767,444221405
150,fcn,256,1024,2,64,1e-05,2000,100,1,0.0,0.005003976077336625,0.005150809027053072,0.0051093994111126965,964.0375517606735,293327769
151,fcn,256,2048,4,64,1e-05,2000,100,1,0.0,0.0055854327899797305,0.005712075547294562,0.005637953673511701,1843.6804774925113,277199814
152,fcn,256,256,1,64,1e-05,2000,100,1,0.0,0.018760006030285215,0.018972814891861554,0.018857217237373224,790.4753417037427,648833167
153,fcn,256,256,2,64,1e-05,2000,100,1,0.0,0.010228735807585466,0.010396769194258719,0.010312211637846685,885.7837824048474,496901019
154,fcn,256,2048,4,64,1e-05,2000,100,1,0.0,0.005208437453380008,0.005311178141122332,0.005324154339861123,2279.8562547555193,51140237
155,fcn,256,2048,2,64,1e-05,2000,100,1,0.0,0.006395232722571723,0.00657273880111548,0.006502373060061246,1049.1521182870492,691521983
156,fcn,256,2048,1,64,1e-05,2000,100,1,0.0,0.010286700384598878,0.010396408773305875,0.010377589557525718,813.5922886859626,910509070
