,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
132,2048,32,1e-05,1,n/a,0.005342898579935233,0.005628473435839017,0.005586652861287196,681.201105693976,deeponet,adam
133,2048,32,1e-05,2,n/a,0.0015534592093899846,0.001722867600619793,0.001710264904734989,1801.5371863928933,deeponet,adam
134,2048,32,1e-05,4,n/a,0.0013604100095108151,0.0016394098056480289,0.0016204580121363203,4217.436366032188,deeponet,adam
135,2048,32,5e-05,1,n/a,0.0046577683339516325,0.004895125050097704,0.004867447850604852,577.2844224904353,deeponet,adam
136,2048,32,5e-05,2,n/a,0.0016319784335792065,0.0018031128371755283,0.0017992473828295867,1617.8354354631156,deeponet,adam
137,2048,32,5e-05,4,n/a,0.0025054678165664277,0.0028391709395994744,0.0028112351428717375,1366.1050086719915,deeponet,adam
138,2048,32,0.0001,1,n/a,0.004493386019021273,0.00470941544820865,0.004695583445330461,579.0551801056912,deeponet,adam
139,2048,32,0.0001,2,n/a,0.002928340109065175,0.003116280616571506,0.003088459838181734,655.3739464230215,deeponet,adam
140,2048,32,0.0001,4,n/a,0.0032822007002929845,0.0036757547253121934,0.0036357700203855834,884.4676746499414,deeponet,adam
141,2048,32,0.0005,1,n/a,0.007038976686696212,0.007244711741805077,0.007219086401164532,226.30724029925963,deeponet,adam
142,2048,32,0.0005,2,n/a,0.005802214921762546,0.006024365002910296,0.005988850723952055,261.0859318071355,deeponet,adam
143,2048,32,0.0005,4,n/a,0.009803576239695152,0.010165476240217686,0.010103908677895864,323.8038708182673,deeponet,adam
144,4098,8,1e-05,1,n/a,0.021393361190954845,0.021344810103376705,0.021022660036881764,767.4878670011336,deeponet,adam
145,4098,8,1e-05,2,n/a,0.020798495039343834,0.020692933971683185,0.020360723758737247,4919.930861488916,deeponet,adam
146,4098,8,1e-05,4,n/a,0.021098338067531586,0.021020214383800823,0.020697857563694317,5502.174136534954,deeponet,adam
147,4098,8,5e-05,1,n/a,0.021579644332329433,0.021522797644138336,0.021200694143772125,807.6302565351749,deeponet,adam
